#{"t_start": 1706716006.7889109, "env_id": "None"}
r,l,t
-7020.002207,1000,294.385968
-6580.002222,1000,294.877004
-5720.002182,1000,296.164133
-6480.0022,1000,296.652552
-6010.002204,1000,297.140738
-6540.002234,1000,298.412972
-5720.002176,1000,298.896585
-6420.002291,1000,300.177657
-6280.002234,1000,300.659845
-5760.002169,1000,301.919605
-6380.002282,1000,302.404936
-5680.002229,1000,303.680146
-6420.002223,1000,304.179179
-6320.002172,1000,305.438655
-6420.002258,1000,305.927913
-6200.002161,1000,307.187814
-6780.002229,1000,307.676427
-6350.002182,1000,308.945081
-5960.002252,1000,309.434631
-6180.002202,1000,310.735022
-6010.002255,1000,311.220778
-5860.002224,1000,312.494898
-5960.002283,1000,312.978588
-5700.002159,1000,314.288286
-6040.002253,1000,314.776567
-6660.002175,1000,316.066193
-5940.002181,1000,316.553732
-6840.002154,1000,317.814065
-6800.002141,1000,318.300543
-6320.002206,1000,319.574629
-7020.002223,1000,320.059443
-6020.00221,1000,321.329369
-6140.002161,1000,321.815936
-6500.002159,1000,323.080788
-5800.002166,1000,323.584462
-5600.002196,1000,324.852522
-5920.002162,1000,325.328616
-6420.002144,1000,326.62972
-6370.00221,1000,327.132081
-6260.00216,1000,328.405191
-5900.002214,1000,328.885553
-7040.002291,1000,330.158441
-6160.002193,1000,330.637087
-6160.002235,1000,331.879918
-6800.002166,1000,332.356877
-6000.002276,1000,333.597481
-6400.002281,1000,334.068918
-6120.002283,1000,334.549605
-6960.002194,1000,335.796721
-5720.002151,1000,336.274384
-6300.002196,1000,337.519248
-6390.002159,1000,337.994043
-6180.002206,1000,339.25371
-5880.002304,1000,339.725266
-5780.002212,1000,340.981122
-5940.002172,1000,341.454456
-6600.002162,1000,342.709126
-6160.002174,1000,343.187384
-6070.002208,1000,344.431618
-6420.00219,1000,344.909584
-6480.002167,1000,346.155798
-5940.002237,1000,346.630938
-6340.00218,1000,347.880634
-5600.002166,1000,348.354701
-6420.002161,1000,349.608569
-6840.002152,1000,350.09204
-5970.002205,1000,351.335208
-6820.002206,1000,351.810172
-6380.002204,1000,353.095151
-6630.00226,1000,353.575528
-6560.00222,1000,354.849842
-6260.002178,1000,355.328305
-6420.002166,1000,356.575006
-7100.002198,1000,357.124018
-6740.002173,1000,358.404963
-6740.002164,1000,358.881532
-6420.002246,1000,360.161419
-6740.002279,1000,360.63543
-7560.002268,1000,361.89519
-6480.002169,1000,362.366358
-5860.002162,1000,363.624932
-6690.002152,1000,364.097027
-6000.002191,1000,365.33365
-6320.002169,1000,365.813071
-5480.00218,1000,367.04141
-6540.002175,1000,367.522377
-6340.002187,1000,368.758061
-6600.002237,1000,369.248342
-5960.002228,1000,370.550623
-6380.002205,1000,371.041874
-6340.002223,1000,371.523468
-5520.002171,1000,372.76912
-5800.002216,1000,373.251262
-5860.002172,1000,374.533597
-6440.002199,1000,375.016361
-6460.002166,1000,376.257177
-7100.002177,1000,376.737987
-6580.002246,1000,377.976207
-5740.002153,1000,378.455877
-6500.002189,1000,379.706737
-6860.002261,1000,380.190825
-6300.002219,1000,381.42746
-6640.002185,1000,381.905433
-6560.002269,1000,383.14917
-6560.002315,1000,383.650542
-6180.002176,1000,384.902633
-7080.00218,1000,385.381072
-7180.002204,1000,386.642714
-6100.00218,1000,387.121262
-6620.002202,1000,388.366
-7450.002284,1000,388.852773
-5900.002192,1000,390.130676
-6320.002203,1000,390.616078
-6100.00222,1000,391.857789
-5680.002268,1000,392.346389
-6760.002183,1000,393.588472
-6780.002164,1000,394.0738
-6580.002187,1000,395.326037
-6600.002177,1000,395.808317
-6640.002149,1000,397.052107
-6200.002173,1000,397.537756
-5920.002196,1000,398.775193
-5760.002167,1000,399.262287
-5760.002173,1000,400.517176
-5760.002209,1000,401.004475
-6320.002191,1000,402.232137
-5660.00228,1000,402.725235
-6750.002192,1000,403.962842
-6340.002152,1000,404.445445
-6200.002195,1000,405.67493
-6820.002181,1000,406.164885
-5760.002187,1000,407.423189
-6460.002248,1000,407.914068
-6670.002258,1000,408.399588
-6520.002182,1000,409.654349
-6520.002254,1000,410.146649
-6700.00217,1000,411.395616
-6360.00219,1000,411.881598
-7170.002268,1000,413.126803
-6850.00232,1000,413.607909
-6420.002204,1000,414.859314
-6820.002183,1000,415.337173
-6180.00217,1000,416.585724
-5660.002174,1000,417.071191
-6400.002247,1000,418.329195
-6160.00217,1000,418.817247
-6170.002263,1000,420.093511
-6460.002153,1000,420.579576
-6800.002214,1000,421.837502
-6380.002181,1000,422.323491
-6380.002183,1000,423.574025
-6120.002175,1000,424.058055
-6440.002184,1000,425.307385
-6500.002187,1000,425.790834
-6300.002221,1000,427.041414
-6280.002165,1000,427.525826
-5820.002197,1000,428.818214
-6260.002208,1000,429.305519
-6330.00218,1000,430.592748
-6280.002207,1000,431.078354
-6460.002176,1000,432.33022
-5580.002197,1000,432.816729
-6220.002168,1000,434.111573
-6740.002202,1000,434.601537
