#{"t_start": 1715954647.594678, "env_id": "None"}
r,l,t,qos_breach,power_per_mbit,latency_error,allocation_error,total_power,total_traffic,reward
-129.385285,1000,326.069405,0,0.02744266670367955,0,0,26.706757881333665,973.1837714500533,-0.02744266670367955--142.116346,1000,333.638304,0,0.028163138972740448,0,0,27.40790980136353,973.1837714500533,-0.02816313897274044-15-139.574605,1000,335.268631,0,0.02776452253610065,0,0,27.019982754192434,973.1837714500534,-0.02776452253610065--139.626936,1000,342.920361,0,0.028123398617307418,0,0,27.369235132384446,973.1837714500533,-0.028123398617307418-1-139.564695,1000,344.552042,0,0.027809330727018255,0,0,27.06358935842148,973.1837714500534,-0.027809330727018255-1-109.584025,1000,352.176255,0,0.027985107433277024,0,0,27.234652396351457,973.1837714500534,-0.0279851074332770-145-117.053426,1000,353.816665,0,0.02827703704766456,0,0,27.51875355947908,973.1837714500534,-0.02827703704766456-1-129.532032,1000,361.549131,0,0.028333170313648525,0,0,27.573381542973166,973.1837714500534,-0.02833317031364852-16-124.629148,1000,363.164356,0,0.02812339861730741,0,0,27.36923513238444,973.1837714500532,-0.02812339861730741--134.422149,1000,370.741798,0,0.02804177563695292,0,0,27.289800972526066,973.1837714500534,-0.02804177563695292
-112.027283,1000,372.418075,0,0.0280640932062062,0,0,27.311520068741572,973.1837714500534,-0.0280640932062062
-126.925673,1000,379.794045,0,0.02814377144417028,0,0,27.389061636865947,973.1837714500533,-0.02814377144417028
-131.986444,1000,381.426353,0,0.02800344520026959,0,0,27.25249841359326,973.1837714500534,-0.02800344520026959
-129.623283,1000,383.059947,0,0.028263288993626807,0,0,27.505374176400515,973.1837714500532,-0.028263288993626807
-122.035106,1000,390.34334,0,0.02805957846625357,0,0,27.307126397087355,973.1837714500534,-0.02805957846625357
-126.91379,1000,391.97085,0,0.02790787232729799,0,0,27.159488444626437,973.1837714500533,-0.02790787232729799
-144.649724,1000,399.34189,0,0.027956086967936077,0,0,27.20641015044172,973.1837714500534,-0.027956086967936077
-119.635488,1000,400.988934,0,0.028281894987466527,0,0,27.523481227657037,973.1837714500534,-0.028281894987466527
-117.063735,1000,408.297655,0,0.02812344619174049,0,0,27.369281431050652,973.1837714500533,-0.02812344619174049
-129.637957,1000,409.954012,0,0.028421380961655997,0,0,27.659226714083125,973.1837714500533,-0.028421380961655997
-132.034947,1000,417.561977,0,0.027997285324929462,0,0,27.24650372287809,973.1837714500534,-0.027997285324929462
-109.526922,1000,419.182236,0,0.028123398617307397,0,0,27.36923513238443,973.1837714500533,-0.028123398617307397
-109.386837,1000,426.824614,0,0.02835641628504969,0,0,27.596004145092373,973.1837714500534,-0.02835641628504969
-124.574243,1000,428.485851,0,0.028151102013131053,0,0,27.396195627614063,973.1837714500532,-0.028151102013131053
-151.963399,1000,435.962042,0,0.028183106160824332,0,0,27.42734154476826,973.1837714500534,-0.028183106160824332
-124.57636,1000,437.572188,0,0.028414681884729214,0,0,27.65270728113429,973.1837714500534,-0.028414681884729214
